company,year,roa,kld,sales,beta,rdexpenses,industry
3Com Corporation,1996,27.80011558532715,4,2327100,-0.9103999733924866,233107,93
3Com Corporation,1997,25.149871826171875,4,3147105,-2.465399980545044,335266,93
3Com Corporation,1998,8.864558219909668,5,5420363,-2.531899929046631,581613,93
3Com Corporation,1999,11.598576545715332,5,5772148,-1.4621000289916992,635787,93
3Com Corporation,2000,1.1295944452285767,4,4333940,0.024000000208616257,610931,93
3Com Corporation,2001,-31.969755172729492,1,2820880,0.07029999792575836,595939,93
3Com Corporation,2002,-12.208324432373047,1,1477931,1.089900016784668,285584,93
3Com Corporation,2003,-1.7246222496032715,1,932866,1.527400016784668,113057,93
3Com Corporation,2004,-9.67049503326416,2,698884,1.1937999725341797,95195,93
3Com Corporation,2005,-10.758421897888184,2,651244,1.2201999425888062,94584,93
"AMP, Inc.",1991,15.622865676879883,1,3094950,0.24899999797344208,265000,25
"AMP, Inc.",1992,17.74746322631836,1,3337144,0.5920000076293945,272000,25
"AMP, Inc.",1993,16.83052635192871,0,3450585,0.574999988079071,258000,25
"AMP, Inc.",1994,17.152795791625977,3,4027470,0.9300000071525574,265000,25
"AMP, Inc.",1995,15.938762664794922,3,5227225,0.2460000067949295,351000,25
"AMP, Inc.",1996,12.819981575012207,3,5468024,-0.20499999821186066,315100,25
"AMP, Inc.",1997,15.382792472839355,3,5745233,-0.23000000417232513,578700,25
"AMP, Inc.",1998,10.653741836547852,3,5481553,-0.14100000262260437,324900,25
ASARCO Incorporated,1998,0.33155161142349243,-6,2233067,-0.9240000247955322,26954,18
Abbott Laboratories,1991,24.891504287719727,0,6876585,0.614799976348877,666336,48
Abbott Laboratories,1992,25.082157135009766,-4,7851909,0.7764999866485596,772407,48
Abbott Laboratories,1993,24.11326789855957,-3,8407842,0.9009000062942505,880974,48
Abbott Laboratories,1994,25.15574836730957,-5,9156005,0.7192000150680542,963516,48
Abbott Laboratories,1995,25.31615447998047,-4,10012192,1.226199984550476,1072744,48
Abbott Laboratories,1996,23.52287483215332,-5,11013459,0.8992000222206116,1204840,48
Abbott Laboratories,1997,23.633277893066406,-5,11883458,0.7268999814987183,1302402,48
Abbott Laboratories,1998,23.591650009155273,-5,12477841,0.6327000260353088,1221592,48
Abbott Laboratories,1999,23.03617286682129,-5,13177622,3.149399995803833,1193962,48
