date,year,month,day,flights
2013-01-01,2013,1,1,842
2013-01-02,2013,1,2,943
2013-01-03,2013,1,3,914
2013-01-04,2013,1,4,915
2013-01-05,2013,1,5,720
2013-01-06,2013,1,6,832
2013-01-07,2013,1,7,933
2013-01-08,2013,1,8,899
2013-01-09,2013,1,9,902
2013-01-10,2013,1,10,932
2013-01-11,2013,1,11,930
2013-01-12,2013,1,12,690
2013-01-13,2013,1,13,828
2013-01-14,2013,1,14,928
2013-01-15,2013,1,15,894
2013-01-16,2013,1,16,901
2013-01-17,2013,1,17,927
2013-01-18,2013,1,18,924
2013-01-19,2013,1,19,674
2013-01-20,2013,1,20,786
2013-01-21,2013,1,21,912
2013-01-22,2013,1,22,890
2013-01-23,2013,1,23,897
2013-01-24,2013,1,24,925
2013-01-25,2013,1,25,922
2013-01-26,2013,1,26,680
2013-01-27,2013,1,27,823
2013-01-28,2013,1,28,923
2013-01-29,2013,1,29,890
2013-01-30,2013,1,30,900
2013-01-31,2013,1,31,928
2013-02-01,2013,2,1,926
2013-02-02,2013,2,2,682
2013-02-03,2013,2,3,814
2013-02-04,2013,2,4,932
2013-02-05,2013,2,5,896
2013-02-06,2013,2,6,901
2013-02-07,2013,2,7,932
2013-02-08,2013,2,8,930
2013-02-09,2013,2,9,684
2013-02-10,2013,2,10,829
2013-02-11,2013,2,11,929
2013-02-12,2013,2,12,893
2013-02-13,2013,2,13,918
2013-02-14,2013,2,14,956
2013-02-15,2013,2,15,954
2013-02-16,2013,2,16,738
2013-02-17,2013,2,17,848
2013-02-18,2013,2,18,948
2013-02-19,2013,2,19,943
2013-02-20,2013,2,20,949
2013-02-21,2013,2,21,961
2013-02-22,2013,2,22,957
2013-02-23,2013,2,23,743
2013-02-24,2013,2,24,880
2013-02-25,2013,2,25,961
2013-02-26,2013,2,26,938
2013-02-27,2013,2,27,945
2013-02-28,2013,2,28,964
2013-03-01,2013,3,1,958
2013-03-02,2013,3,2,765
2013-03-03,2013,3,3,913
2013-03-04,2013,3,4,977
2013-03-05,2013,3,5,965
2013-03-06,2013,3,6,972
2013-03-07,2013,3,7,980
2013-03-08,2013,3,8,979
2013-03-09,2013,3,9,765
2013-03-10,2013,3,10,908
2013-03-11,2013,3,11,980
2013-03-12,2013,3,12,966
2013-03-13,2013,3,13,974
2013-03-14,2013,3,14,982
2013-03-15,2013,3,15,979
2013-03-16,2013,3,16,767
2013-03-17,2013,3,17,907
2013-03-18,2013,3,18,981
2013-03-19,2013,3,19,967
2013-03-20,2013,3,20,970
2013-03-21,2013,3,21,980
2013-03-22,2013,3,22,977
2013-03-23,2013,3,23,767
2013-03-24,2013,3,24,905
2013-03-25,2013,3,25,978
2013-03-26,2013,3,26,973
2013-03-27,2013,3,27,977
2013-03-28,2013,3,28,982
2013-03-29,2013,3,29,974
2013-03-30,2013,3,30,769
2013-03-31,2013,3,31,897
2013-04-01,2013,4,1,970
2013-04-02,2013,4,2,983
2013-04-03,2013,4,3,992
2013-04-04,2013,4,4,985
2013-04-05,2013,4,5,981
2013-04-06,2013,4,6,770
2013-04-07,2013,4,7,911
2013-04-08,2013,4,8,981
2013-04-09,2013,4,9,975
2013-04-10,2013,4,10,989
2013-04-11,2013,4,11,992
2013-04-12,2013,4,12,989
2013-04-13,2013,4,13,770
2013-04-14,2013,4,14,917
2013-04-15,2013,4,15,995
2013-04-16,2013,4,16,974
2013-04-17,2013,4,17,988
2013-04-18,2013,4,18,992
2013-04-19,2013,4,19,988
2013-04-20,2013,4,20,766
2013-04-21,2013,4,21,919
2013-04-22,2013,4,22,985
2013-04-23,2013,4,23,965
2013-04-24,2013,4,24,976
2013-04-25,2013,4,25,983
2013-04-26,2013,4,26,981
2013-04-27,2013,4,27,757
2013-04-28,2013,4,28,913
2013-04-29,2013,4,29,983
2013-04-30,2013,4,30,960
2013-05-01,2013,5,1,964
2013-05-02,2013,5,2,983
2013-05-03,2013,5,3,978
2013-05-04,2013,5,4,745
2013-05-05,2013,5,5,912
2013-05-06,2013,5,6,980
2013-05-07,2013,5,7,955
2013-05-08,2013,5,8,965
2013-05-09,2013,5,9,981
2013-05-10,2013,5,10,978
2013-05-11,2013,5,11,738
2013-05-12,2013,5,12,896
2013-05-13,2013,5,13,979
2013-05-14,2013,5,14,955
2013-05-15,2013,5,15,967
2013-05-16,2013,5,16,982
2013-05-17,2013,5,17,980
2013-05-18,2013,5,18,749
2013-05-19,2013,5,19,911
2013-05-20,2013,5,20,983
2013-05-21,2013,5,21,962
2013-05-22,2013,5,22,972
2013-05-23,2013,5,23,988
2013-05-24,2013,5,24,978
2013-05-25,2013,5,25,728
2013-05-26,2013,5,26,729
2013-05-27,2013,5,27,928
2013-05-28,2013,5,28,981
2013-05-29,2013,5,29,974
2013-05-30,2013,5,30,989
2013-05-31,2013,5,31,986
2013-06-01,2013,6,1,754
2013-06-02,2013,6,2,911
2013-06-03,2013,6,3,982
2013-06-04,2013,6,4,960
2013-06-05,2013,6,5,970
2013-06-06,2013,6,6,976
2013-06-07,2013,6,7,975
2013-06-08,2013,6,8,779
2013-06-09,2013,6,9,908
2013-06-10,2013,6,10,987
2013-06-11,2013,6,11,980
2013-06-12,2013,6,12,983
2013-06-13,2013,6,13,989
2013-06-14,2013,6,14,989
2013-06-15,2013,6,15,801
2013-06-16,2013,6,16,918
2013-06-17,2013,6,17,990
2013-06-18,2013,6,18,982
2013-06-19,2013,6,19,985
2013-06-20,2013,6,20,995
2013-06-21,2013,6,21,993
2013-06-22,2013,6,22,812
2013-06-23,2013,6,23,923
2013-06-24,2013,6,24,994
2013-06-25,2013,6,25,993
2013-06-26,2013,6,26,995
2013-06-27,2013,6,27,995
2013-06-28,2013,6,28,994
2013-06-29,2013,6,29,812
2013-06-30,2013,6,30,918
2013-07-01,2013,7,1,966
2013-07-02,2013,7,2,945
2013-07-03,2013,7,3,983
2013-07-04,2013,7,4,737
2013-07-05,2013,7,5,822
2013-07-06,2013,7,6,805
2013-07-07,2013,7,7,934
2013-07-08,2013,7,8,1004
2013-07-09,2013,7,9,1001
2013-07-10,2013,7,10,1004
2013-07-11,2013,7,11,1006
2013-07-12,2013,7,12,1002
2013-07-13,2013,7,13,811
2013-07-14,2013,7,14,931
2013-07-15,2013,7,15,999
2013-07-16,2013,7,16,996
2013-07-17,2013,7,17,1001
2013-07-18,2013,7,18,1003
2013-07-19,2013,7,19,999
2013-07-20,2013,7,20,810
2013-07-21,2013,7,21,929
2013-07-22,2013,7,22,1000
2013-07-23,2013,7,23,997
2013-07-24,2013,7,24,1000
2013-07-25,2013,7,25,1003
2013-07-26,2013,7,26,999
2013-07-27,2013,7,27,811
2013-07-28,2013,7,28,930
2013-07-29,2013,7,29,999
2013-07-30,2013,7,30,997
2013-07-31,2013,7,31,1001
2013-08-01,2013,8,1,1000
2013-08-02,2013,8,2,999
2013-08-03,2013,8,3,809
2013-08-04,2013,8,4,929
2013-08-05,2013,8,5,1000
2013-08-06,2013,8,6,996
2013-08-07,2013,8,7,1001
