brand,model,display,colors,os,cpu,sensors,speaker,jack,gps,weight,mem,ram,camera,battery,price,vol,size,ppi,release
Acer,Iconia Talk S,LCD,Black,Android,Quad-core 1.3 GHz Cortex-A53,Accelerometer| proximity,Yes,Yes,Yes,260,16,2,13,3400,170,182,7,210,2016
Acer,Liquid Z6 Plus,LCD,Black| White,Android,Octa-core 1.3 GHz Cortex-A53,Fingerprint (front-mounted)| accelerometer| proximity,Yes,Yes,Yes,169,32,3,13,4080,250,98.8,5.5,401,2016
Acer,Liquid Z6,LCD,Black| White,Android,Quad-core 1.25 GHz Cortex-A53,Accelerometer| proximity,Yes,Yes,Yes,NA,8,1,8,2000,120,NA,5,294,2016
Acer,Liquid X2,LCD,Black| Gold,Android,Octa-core 1.3 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,166,32,3,13,4020,230,102.7,5.5,267,2016
Acer,Liquid Zest Plus,LCD,Blue| White,Android,Quad-core 1.3 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,NA,16,2,13,5000,200,118.6,5.5,267,2016
Acer,Liquid Zest,LCD,Black| White,Android,Quad-core 1.3 GHz - Z525,Accelerometer| proximity| compass,Yes,Yes,Yes,125,8,1,8,2000,110,87.1,5,294,2016
Acer,Predator 8,LCD,Black/Silver,Android,Quad-core 1.6 GHz,Yes,Yes,Yes,NA,353.8,32,2,5,4420,350,238,8,283,2015
Acer,Liquid Jade Primo,AMOLED,Black,Windows,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,150,32,3,21,2870,220,99.8,5.5,401,2016
Acer,Liquid Z330,LCD,Mystic Black| Pure White,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,142,8,1,5,2000,110,86.8,4.5,218,2015
Acer,Liquid Z320,LCD,Pure White,Android,Quad-core 1.0 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,142,8,1,5,2000,90,86.8,4.5,218,2015
Acer,Liquid Z630,LCD,Black,Android,Quad-core 1.3 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,165,8,1,8,4000,200,107.8,5.5,267,2015
Acer,Liquid Z530,LCD,Black| White,Android,Quad-core 1.3 GHz Cortex-A53,Accelerometer| proximity,Yes,Yes,Yes,145,8,1,8,2420,150,90.1,5,294,2015
